Company,Revenues,Profits,Employees,Sector,Industry
Caterpillar,45462,754,98400,Industrials,Construction and Farm Machinery
Nationwide,43940,246.5,33135,Financials,Insurance: Property and Casualty (Mutual)
Morgan Stanley,43642,6111,57633,Financials,Commercial Banks
Liberty Mutual Insurance Group,42687,17,50000,Financials,Insurance: Property and Casualty (Stock)
New York Life Insurance,42296,1866.9,11114,Financials,"Insurance: Life, Health (Mutual)"
Goldman Sachs Group,42254,4286,36600,Financials,Commercial Banks
American Airlines Group,42207,1919,126600,Transportation,Airlines
Best Buy,42151,1000,125000,Retailing,Specialty Retailers: Other
Cigna,41616,2237,46000,Health Care,Health Care: Insurance and Managed Care
Charter Communications,41581,9895,94800,Telecommunications,Telecommunications
Delta Air Lines,41244,3577,86564,Transportation,Airlines
Facebook,40653,15934,25105,Technology,Internet Services and Retailing
Honeywell International,40534,1655,131000,Industrials,"Electronics, Electrical Equip."
Merck,40122,2394,69000,Health Care,Pharmaceuticals
Allstate,38524,3189,42680,Financials,Insurance: Property and Casualty (Stock)
Tyson Foods,38260,1774,122000,"Food, Beverages & Tobacco",Food Production
United Continental Holdings,37736,2131,89800,Transportation,Airlines
Oracle,37728,9335,138000,Technology,Computer Software
Tech Data,36775,116.6,14000,Wholesalers,Wholesalers: Electronics and Office Equipment
TIAA,36025,1049.7,16829,Financials,"Insurance: Life, Health (Mutual)"
TJX,35865,2607.9,249000,Retailing,Specialty Retailers: Apparel
