Rank,Name,Number Of Employees,Change In Rank,Industry,Company Description,Revenues_millions,Revenue_Change,Profits_millions,Profit_Change,"Assets
($millions)","Market Value
As of 3/31/20 ($m)"
357,Huntington Ingalls Industries,42000,14,Shipbuilding Company,Huntington Ingalls Industries Is America's Largest Military Shipbuilding Company And A Provider Of Professional Services To Partners In Government And Industry.,"$8,899",8.80%,$549.00,-34.30%,"$7,031","$7,420"
358,Berry Global Group,48000,31,Plastics Company,Global Manufacturer And Marketer Of Plastic Packaging Products.,"$8,878",12.80%,$404.00,-18.50%,"$16,469","$4,463"
359,Anixter International,9400,5,Electronic Solutions,"Anixter International Inc. Is A Global Distributor Of Network And Security, Electrical And Electronic, And Utility Power Solutions.","$8,846",5.30%,$262.90,68.20%,"$4,809","$2,973"
360,Alaska Air Group,24134,8,Airline,"Alaska Air Group Is An Airline Holding Company Based In Seatac, Washington, United States.","$8,781",6.30%,$769.00,76.00%,"$12,993","$3,490"
361,Yum China Holdings,450000,1,Fast Food Restaurant Company,"Yum China Holdings, Inc. Is China's Leading Restaurant Company With A Vision Of Becoming The World's Most Innovative Pioneer In Restaurant Industry.","$8,776",4.30%,$713.00,0.70%,"$6,950","$16,033"
362,Dick's Sporting Goods,28450,-3,Retail Company,"Dick's Sporting Goods, Inc. Is An American Sporting Goods Retail Company, Based In Coraopolis, Pennsylvania","$8,751",3.70%,$297.50,-7.00%,"$6,629","$1,848"
363,Caesars Entertainment,64000,2,Entertainment Company,Caesars Entertainment Is One Of The World's Most Diversified Casino-entertainment Providers And The Most Geographically Diverse U.s. Casino-entertainment Company.,"$8,742",4.20%,"-$1,195.00",-494.40%,"$25,345","$4,612"
364,Genworth Financial,3100,-4,Insurance Company,"Genworth Financial, Inc. Is A Financial Services Company, Which Engages In The Provision Of Insurance, Wealth Management, Investment And Financial Solutions.","$8,681",3.00%,$343.00,188.20%,"$101,342","$1,676"
365,Targa Resources,2680,-63,Fast Food Restaurant Company,Targa Resources Is A Growth-oriented Provider Of Midstream Services And Is One Of The Largest Independent Midstream Energy Companies In North America.,"$8,671",-17.30%,-$209.20,-13175.00%,"$18,815","$1,611"
366,Coty,19000,-32,Beauty,"Coty Is A Global Beauty Company Making Cosmetic, Skin, Fragrance & Hair Brands. We Positively Disrupt To Create A Radically Inclusive World Of Beauty.","$8,649",-8.00%,"-$3,784.20",-,"$17,665","$3,924"
367,Dana,36300,6,Automotive Industry,"Dana Engineers, Manufactures, And Distributes Power-conveyance And Energy-management Solutions For The Vehicles Of Today And Tomorrow.","$8,620",5.90%,$226.00,-47.10%,"$7,220","$1,128"
368,Thrivent Financial For Lutherans,3235,-17,Not-for-profit Organization,"The Organization Offers Life Insurance, Annuities, Mutual Funds, And Other Services. Thrivent Financial For Lutherans Foundation Serves Communities In The United States.","$8,612",-0.30%,$968.10,-21.50%,"$102,478",-
369,Autoliv,61957,-48,Automotive,Autoliv Is A Holding Company And A Supplier Of Automotive Safety Systems.,"$8,548",-12.80%,$461.50,142.40%,"$6,771","$4,017"
370,Spartannash,13800,7,Grocery Store Company,"The Most Progressive Wholesale Grocery Distributor And Retailer In The Midwest, Supporting Independent Grocers, And Military Commissaries And Exchanges.","$8,536",5.80%,$5.70,-82.90%,"$2,276",$521
371,Eversource Energy,8234,-13,Electric Services Company,Eversource Energy. Eversource Energy Is A Public Utility Holding Company.,"$8,527",0.90%,$909.10,-12.00%,"$41,124","$25,835"
372,Darden Restaurants,184514,4,Restaurant Company,"Darden Restaurants, Inc. Is An American Multi-brand Restaurant.","$8,510",5.30%,$713.40,19.70%,"$5,893","$6,580"
373,Chesapeake Energy,2300,-64,Gas Industry Company,Chesapeake Energy Corporation Is An American Energy Company Engaged In Hydrocarbon Exploration.,"$8,489",-17.00%,-$308.00,-135.30%,"$16,193",$338
374,National Oilwell Varco,34645,-17,Oilfield Services And Equipment,"National Oilwell Varco Is A Worldwide Leader In The Design, Manufacture, And Sale Of Equipment And Components Used In Oil And Gas Drilling And Production Operations, And The Provision Of Oilfield Services To The Oil And Gas Industry.","$8,479",0.30%,"-$6,095.00",-,"$13,149","$3,794"
375,Fidelity National Financial,23484,27,Insurance Company,"Fidelity National Financial, Inc. Is A Provider Of Title Insurance, Mortgage Services And Diversified Services.","$8,469",11.50%,"$1,062.00",69.10%,"$10,677","$6,854"
376,Erie Insurance Group,5778,5,Insurance Company,"Erie Insurance Offers A Range Of Services To Meet Family Insurance Needs, Including A Variety Of Home And Tenant (renters) Insurance Policy.","$8,443",5.10%,$551.00,-19.70%,"$23,347",-
377,Oshkosh,15400,18,Apparel Company,Oshkosh B'gosh Is An American Children's Apparel Company Founded In Oshkosh.,"$8,382",8.80%,$579.40,22.80%,"$5,566","$4,394"
378,Casey's General Stores,26866,30,Convenience Store Company,"Casey's Offers A Wide Range Of Prepared Foods And Beverages In Addition To The Traditional Selection Of Snacks, Grocery Items, Retail Goods And Gasoline.","$8,365",11.90%,$203.90,-35.90%,"$3,731","$4,875"
379,Wesco International,9500,-9,"Maintenance, Repair, And Operations Company","Wesco Distribution, A Multinational Electrical Distribution And Services Company Based In Pittsburgh.","$8,359",2.20%,$223.40,-1.70%,"$5,018",$957
380,Tractor Supply,24000,8,Retail Chain Company,"Tractor Supply Company Is An American Retail Chain Of Stores That Offers Products For Home Improvement, Agriculture, Lawn And Garden Maintenance, Livestock, Equine And Pet Care.","$8,352",5.60%,$562.40,5.60%,"$5,289","$9,810"
381,Commscope Holding,30000,188,Infrastructure Company,"Commscope Holding Company, Inc. Is A Provider Of Infrastructure Solutions For Communication And Entertainment Networks.","$8,345",82.70%,-$929.50,-762.90%,"$14,432","$1,779"
382,Huntsman,10000,-106,Chemical Manufacturing Company,Huntsman Corporation Is An American Multinational Manufacturer And Marketer Of Chemical Products For Consumers And Industrial Customers.,"$8,342",-27.60%,$562.00,66.80%,"$8,320","$3,217"
383,American Financial Group,7700,44,Financial Services Company,"American Financial Group, Inc. Is An American Financial Services Holding Company Based In Cincinnati, Ohio.","$8,237",15.20%,$897.00,69.20%,"$70,130","$6,331"
384,Masco,22000,-18,Manufacturing Company,Masco Corporation Is A Manufacturer Of Products For The Home Improvement And New Home Construction Markets.,"$8,235",-1.50%,$935.00,27.40%,"$5,027","$9,118"
385,Sanmina,38500,44,Electrical & Electronic Manufacturing,Sanmina Corporation Provides Electronics Contract Manufacturing Services To Customers Located Around The World.,"$8,234",15.80%,$141.50,-,"$3,906","$1,927"
386,Amphenol,74000,-17,Fiber Optic Cable Manufacturing Company,"Amphenol Corporation Is A Major Producer Of Electronic And Fiber Optic Connectors, Cable And Interconnect Systems Such As Coaxial Cables.","$8,225",0.30%,"$1,155.00",-4.10%,"$10,816","$21,726"
387,Williams,4812,-39,Racing Team,Williams Is Providing Infrastructure That Safely Delivers Natural Gas Products To Fuel A Clean Energy Economy.,"$8,201",-5.60%,$850.00,-,"$46,040","$17,166"
388,Westinghouse Air Brake,27500,201,Railroad Manufacture,"Westinghouse Air Brake Technologies (dba Wabtec) Manufactures Braking Equipment And Other Parts For Locomotives, Freight Cars, And Passenger Railcars.","$8,200",87.90%,$326.70,10.80%,"$18,944","$9,227"
389,Expeditors Intl. Of Washington,18000,-15,Logistics Company,"The Company Provides Air And Ocean Freight Forwarding, Vendor Consolidation, Customs Clearance, Marine Insurance, Distribution, And Other International Logistics Services.","$8,175",0.50%,$590.40,-4.50%,"$3,692","$11,208"
390,Andersons,2284,364,Food Production,"It Provided Merchandising, Production, And Distribution Of Products And Services To The Agribusiness Community, Organized Into Multiple Business Groups","$8,170",168.30%,$18.30,-55.90%,"$3,901",$629
391,Westlake Chemical,9430,-39,Petrochemical Company,"Westlake Chemical Is An International Manufacturer And Supplier Of Petrochemicals, Polymers And Fabricated Building Products, Which Are Fundamental To Various Consumer And Industrial Markets.","$8,118",-6.00%,$421.00,-57.70%,"$13,261","$4,901"
392,Constellation Brands,9800,11,Beverages,"It Is An American Producer And Marketer Of Beer, Wine, And Spirits.","$8,116",7.00%,"$3,435.90",48.20%,"$29,232","$27,601"
393,Frontier Communications,18317,-38,Telecommunications Company,It Is An American Telecommunications Company.,"$8,107",-5.90%,"-$5,911.00",-,"$17,488",$40
394,Jetblue Airways,19032,5,Airline,"Jetblue Airways Is A Major American Low Cost Airline, And The Seventh Largest Airline In North America By Passengers Carried.","$8,094",5.70%,$569.00,202.70%,"$11,918","$2,526"
395,Citizens Financial Group,17997,20,Financial Service,"Citizens Financial Group, Inc. Is A Retail Bank Holding Company.","$8,066",9.70%,"$1,791.00",4.10%,"$165,733","$8,040"
396,Raymond James Financial,14200,11,Investment Banking Company,"A Diversified Financial Services Firm, Focused On Providing Trusted Advice And Tailored, Sophisticated Solutions For Individuals And Institutions.","$8,023",7.30%,"$1,034.00",20.70%,"$38,830","$8,803"
397,Foot Locker,33294,-12,Sportswear Company,"Foot Locker Retail, Inc. Is An American Sportswear And Footwear Retailer.","$8,005",0.80%,$491.00,-9.20%,"$6,589","$2,297"
398,Hershey,15330,-7,Chocolate And Cocoa Products Company,"The Hershey Company, Commonly Known As Hershey's, Is An American Multinational Company And One Of The Largest Chocolate Manufacturers In The World. It Also Manufactures Baked Products, Such As Cookies, Cakes, Milkshakes, Drinks, And Many More That Are Produced Globally.","$7,986",2.50%,"$1,149.70",-2.40%,"$8,140","$27,792"
399,Zimmer Biomet Holdings,19900,-12,Medical Device,"Leading Medical Device Manufacturers, Zimmer And Biomet, Join To Offer Innovative Orthopedic Medical Devices And Joint Replacement.","$7,982",0.60%,"$1,131.60",-,"$24,639","$20,891"
400,Cincinnati Financial,5200,115,Insurance,Cincinnati Financial Corporation Offers Property And Casualty Insurance.,"$7,924",46.50%,"$1,997.40",595.60%,"$25,408","$12,242"
401,Western & Southern Financial Group,2787,20,Insurance,"Western & Southern Financial Group Is A Diversified Family Of Financial Services Companies With Assets Owned And Managed In Excess Of $67.5 Billion As Of March 2017. They Do So By Assisting In Insurance Protection, Investments And Retirement Planning.","$7,921",9.90%,$244.90,-50.50%,"$54,703",-
402,W.r. Berkley,7493,-5,Insurance,W. R. Berkley Corporation Is A Commercial Lines Property & Casualty Insurance Holding Company.,"$7,902",2.70%,$681.90,6.40%,"$26,643","$9,569"
403,Motorola Solutions,17000,13,Communications Equipment,"Motorola Solutions, Inc., Is A Data Communications And Telecommunications Equipment Provider That Succeeded Motorola, Inc.","$7,887",7.40%,$868.00,-10.10%,"$10,642","$22,803"
404,Thor Industries,21750,-37,Automobile,"Thor Industries, Inc. Is An American Manufacturer Of Recreational Vehicles. The Company Sells Towable And Motorized Rvs Through Its Subsidiaries Brands Including Airstream, Heartland Rv, Jayco, Livin Lite Rv, And Others.","$7,865",-5.60%,$133.30,-69.00%,"$5,660","$2,328"
405,Regeneron Pharmaceuticals,8100,45,Biotechnology,"Regeneron Pharmaceuticals, Inc. Is An American Biotechnology Company.","$7,863",17.20%,"$2,115.80",-13.40%,"$14,805","$53,722"
406,Spirit Aerosystems Holdings,18200,14,Aircraft Manufacturing,"Spirit Aerosystems, Inc. Is The World's Largest First-tier Aerostructures Manufacturer. The Company Builds Several Important Pieces Of Boeing Aircraft, Including The Fuselage Of The 737, Portions Of The 787 Fuselage, And The Cockpit Section Of The Fuselage Of Nearly All Of Its Airliners.","$7,863",8.90%,$530.10,-14.10%,"$7,606","$2,507"
407,J.m. Smucker,7400,7,Food Processing And Manufacturing,"The J. M. Smucker Company Is An American Manufacturer Of Jam, Peanut Butter, Jelly, Fruit Syrups, Beverages, Shortening, Ice Cream Toppings, And Other Products In North America.","$7,838",6.50%,$514.40,-61.60%,"$16,711","$12,658"
408,Ppl,12280,-16,Music Licensing Company,Phonographic Performance Limited Is A British Music Copyright Collective.,"$7,769",-0.20%,"$1,746.00",-4.40%,"$45,680","$18,950"
409,Insight Enterprises,11261,21,Business-to-business,Insight Enterprises Inc. Is A Global Technology Company That Focuses On Business-to-business And Information Technology Capabilities For Enterprises.,"$7,731",9.20%,$159.40,-2.60%,"$4,178","$1,486"
410,Quest Diagnostics,47000,-6,Clinical Laboratory,"Quest Diagnostics Is An American Clinical Laboratory. It Operates In The United States, Puerto Rico, Mexico, And Brazil. Quest Also Maintains Collaborative Agreements With Various Hospitals And Clinics Across The Globe","$7,726",2.60%,$858.00,16.60%,"$12,843","$10,716"
411,Keycorp,17045,2,Financial Services,Key Corp Limited Provides Efficient Financial Services To The Industry Locally And Reduce Dependence On The Bigger Centers For Such Services.,"$7,694",4.10%,"$1,717.00",-8.00%,"$144,988","$10,058"
412,Veritiv,8000,-65,Logistics,"It Is A Business-to-business Distributor Of Packaging, Facility Solutions, Print And Publishing Products And Services; And Also A Provider Of Logistics And Supply Chain Management Solution","$7,659",-11.90%,-$29.50,-,"$2,511",$127
413,Dcp Midstream,2250,-93,Petroleum Services,"Dcp Midstream Partners, Lp Is A Midstream Petroleum Services, Headquartered In Denver, Colorado. As A Publicly Traded Partnership, The Company Does Not Have Directors, Officers, Or Employees Of Its Own, But Relies On Its General Partner For Managing Its Operations. It Is Dedicated To Meeting The Energy And Cosumer Needs.","$7,625",-22.40%,$17.00,-94.30%,"$14,127",$848
414,American Tower,5454,-4,Real Estate Investment,American Tower Corporation Is An American Real Estate Investment Trust And An Owner And Operator Of Wireless And Broadcast Communications Infrastructure In Several Countries Worldwide,"$7,580",1.90%,"$1,887.80",52.70%,"$42,802","$96,444"
415,Graybar Electric,9000,8,Logistics,"It Conducts A Wholesale Distribution Business For Electrical, Communications And Data Networking Products, And Is A Provider Of Related Supply-chain Management And Logistics Services.","$7,524",4.50%,$144.50,0.80%,"$2,518",-
416,Wec Energy Group,7509,-18,Energy Company,"It Provides Electricity And Natural Gas To Its Customers . The Company Operates Through Its Brands – We Energies (wisconsin Electric Power And Wisconsin Gas), Wisconsin Public Service, Peoples Gas, North Shore Gas, Michigan Gas Utilities, Minnesota Energy Resources And Upper Michigan Energy Resources.","$7,523",-2.00%,"$1,134.00",7.10%,"$34,952","$27,799"
417,Nvr,5700,7,Home Construction,"Nvr, Inc. Is A Company Engaged In Home Construction. It Also Operates A Mortgage Banking And Title Services Business.","$7,428",3.30%,$878.50,10.20%,"$3,810","$9,475"
418,Ulta Beauty,31000,31,Beauty Salon,"It Is An American Chain Of Beauty Stores Ulta Beauty Carries Cosmetics And Skincare Brands, Men's And Women's Fragrances, Nail Products, Bath And Body Products, Beauty Tools And Haircare Products.","$7,398",10.10%,$705.90,7.20%,"$4,864","$9,894"
419,Devon Energy,1800,-122,Oil Industry,Devon Energy Corporation Is An American Energy Company Engaged In Hydrocarbon Exploration In The American Market.,"$7,372",-31.30%,-$355.00,-111.60%,"$13,717","$2,646"
